1                   5800.46             5624.67             5950.64             
2                   15379.65            15037.69            15886.76            
3                   24575.68            24357.81            25179.08            
4                   35051.08            34540.51            35586.72            
5                   44914.92            44482.9             45157.01            
6                   50741.68            50522.41            50888.38            
7                   56745.98            56430.48            57014.5             
8                   62800.72            62322.71            63316.44            
9                   66940.56            56958.91            68840.72            
10                  72991.44            70363.04            73868.62            
11                  76591.85            74594.86            77119.9             
12                  79645.48            78641.89            81277.18            
