1                   13234.05            13102.92            13365.18            
2                   26940.25            26822.02            27058.49            
3                   40431.14            40344.22            40518.07            
4                   53444.98            53188.43            53944.45            
5                   61836.58            53899.5             65675.24            
6                   73583.17            66190.3             76038.97            
7                   83652.07            80809.43            84536.03            
8                   88954.83            85393.47            90982.97            
9                   92088.2             74719.94            96874.5             
10                  92710.6             82967.08            96471.65            
11                  92010.98            76510.19            101280.72           
12                  92774.15            75273.18            99115.87            
