1                   13014.76            13014.76            13014.76            
2                   26928.44            26928.44            26928.44            
3                   39577.39            39577.39            39577.39            
4                   52000.12            52000.12            52000.12            
5                   63712.78            63712.78            63712.78            
6                   74722.38            74722.38            74722.38            
7                   83273.4             83273.4             83273.4             
8                   89756.27            89756.27            89756.27            
9                   94894.32            94894.32            94894.32            
10                  95760.96            95760.96            95760.96            
11                  98433.68            98433.68            98433.68            
12                  97412.91            97412.91            97412.91            
